1 59,579102
2 118,68701
3 178,15405
4 237,58887
5 297,1189
6 356,36401
7 415,87891
8 475,448
9 534,15894
10 594,85596
11 654,46899
12 713,92993
13 772,80908
14 830,70312
15 889,16016
16 951,10693
17 1008,8379
18 1065,915
19 1130,3171
20 1186,6382
21 1249,1179
22 1307,0801
23 1362,6069
24 1426,1641
25 1488,1689
26 1541,9102
27 1602,311
28 1664,283
29 1730,0759
30 1780,25
31 1839,78
32 1899,9419
33 1960,189
34 2018,7751
35 2081,5039
36 2136,22
37 2202,4109
38 2258,8699
39 2321,438
40 2377,0581
41 2445,6699
42 2495,218
43 2555,113
44 2614,668
45 2670,77
46 2734,5688
47 2800,5459
48 2851,1169
49 2912,311
50 2975,3191
51 3030,6191
52 3090,7229
53 3136,5781
54 3205,0051
55 3258,0122
56 3326,604
57 3375,5168
58 3446,4551
59 3501,698
60 3816,2949
61 3617,0042
62 3663,8992
63 3737,3518
64 3799,1812
65 3854,1628
66 3928,7861
67 3978,593
68 4033,2639
69 4092,7522
70 4151,031
71 4187,4841
72 4261,5549
73 4329,3459
74 4387,5461
75 4444,863
76 4504,312
77 4561,675
78 4581,0752
79 4704,998
80 4749,9709
81 4797,6821
82 4868,7012
83 4927,6899
84 4977,8201
85 5051,8789
86 5073,792
87 5157,002
88 5199,2109
89 5273,6331
90 5344,3149
91 5372,7058
92 5447,9312
93 5495,0281
94 5525,2219
95 5629,375
96 5640,4099
97 5755,6638
98 5809,8259
99 5873,6309
100 5941,4661
