1 77,509033
2 154,88794
3 232,26294
4 349,16797
5 434,60303
6 465,57104
7 543,17798
8 620,59814
9 697,85205
10 775,78394
11 851,72192
12 929,59497
13 1008,1052
14 1086,7522
15 1162,134
16 1239,718
17 1318,448
18 1396,97
19 1474,2439
20 1552,3979
21 1629,5549
22 1706,3511
23 1784,9321
24 1862,325
25 1939,542
26 2015,292
27 2096,6501
28 2171,3411
29 2247,876
30 2326,418
31 2404,158
32 2483,0061
33 2557,363
34 2635,1321
35 2794,7551
36 2791,1301
37 2871,1311
38 3134,5039
39 3024,218
40 3103,751
41 3886,6069
42 3991,98
43 3334,762
44 3415,0071
45 3489,895
46 3566,48
47 4034,8608
48 3724,5
49 3799,1909
50 3879,0029
51 3952,3821
52 4025,1809
53 4112,636
54 4187,9622
55 4269,7441
56 4341,9551
57 4423,053
58 4499,842
59 4580,2781
60 4656,928
61 4734,6492
62 4806,79
63 4887,0881
64 4965,259
65 5042,29
66 5118,3521
67 5184,0872
68 5264,0049
69 5349,4761
70 5428,7009
71 5488,1179
72 5582,6951
73 6472,814
74 5745,6602
75 5819,074
76 5892,8108
77 5978,397
78 6049,3098
79 6267,9529
80 6206,5562
81 6273,855
82 6368,052
83 6434,457
84 6519,3298
85 7986,4082
86 6677,78
87 6750,908
88 8367,343
89 6900,78
90 6933,5669
91 7057,8838
92 7128,4919
93 7209,9121
94 7288,9531
95 7698,3301
96 7433,0911
97 7510,594
98 7596,6289
99 7675,4338
100 7746,7339
