1 103,62207
2 206,99512
3 310,53003
4 414,09009
5 517,31201
6 621,34204
7 724,11206
8 827,97192
9 931,88696
10 1035,594
11 1138,6521
12 1243,001
13 1346,501
14 1449,3179
15 1553,397
16 1656,8491
17 1760,792
18 1864,082
19 1967,5989
20 2071,3091
21 2174,8059
22 2278,6389
23 2382,427
24 2485,8899
25 2589,188
26 2693,2778
27 2796,6411
28 2899,78
29 3003,1619
30 3106,9749
31 3210,761
32 3309,9871
33 3417,8198
34 3520,5352
35 3625,0889
36 3727,4302
37 3787,522
38 3851,7998
39 3965,3999
40 3900,3359
41 4245,5361
42 4347,719
43 4452,989
44 4548,4729
45 4659,9119
46 4764,1699
47 4867,179
48 4970,1631
49 5074,771
50 5176,4009
51 5282,136
52 5384,7371
53 5488,9978
54 5592,481
55 5695,3992
56 5793,9919
57 5903,907
58 6006,709
59 6105,8708
60 6213,491
61 6302,55
62 6420,7791
63 6269,416
64 6624,502
65 6728,1489
66 6835,241
67 6938,0449
68 7036,116
69 7141,501
70 7248,6099
71 7352,9502
72 7458,2959
73 7561,5688
74 7661,6309
75 7759,6711
76 7863,8572
77 7974,7529
78 8078,6282
79 8179,2429
80 8285,2161
81 8379,092
82 8492,99
83 8586,6001
84 8645,3079
85 8800,7881
86 8886,834
87 8985,8511
88 9075,6289
89 9194,9192
90 9290,811
91 9405,3899
92 9527,6299
93 9613,249
94 9709,6929
95 9820,104
96 9925,356
97 10013,951
98 10136,357
99 10246,207
100 10350,722
