1 13,163086
2 26,098877
3 39,477051
4 53,344971
5 68,504883
6 83,817871
7 100,51001
8 116,96191
9 132,11304
10 146,302
11 161,00781
12 175,39111
13 189,07812
14 203,68994
15 218,06689
16 232,69482
17 247,771
18 261,99512
19 276,78394
20 290,7002
21 304,72803
22 319,94507
23 335,57104
24 349,58984
25 364,2019
26 379,33203
27 393,104
28 408,68799
29 423,34204
30 437,16406
31 451,89111
32 466,98511
33 481,00293
34 496,34595
35 511,7771
36 525,96704
37 540,99585
38 554,83301
39 570,26807
40 584,63208
41 598,04004
42 613,11401
43 626,94092
44 643,2688
45 657,46484
46 672,22998
47 686,54395
48 700,42114
49 715,24194
50 731,38306
51 747,10498
52 759,75317
53 774,45093
54 789,97583
55 805,40796
56 820,29907
57 834,73706
58 847,36719
59 861,3418
60 878,07812
61 893,71289
62 907,54297
63 919,41284
64 937,28101
65 952,75708
66 964,29102
67 980,06909
68 996,03198
69 1011,5898
70 1022,8918
71 1037,8101
72 1055,522
73 1067,7451
74 1084,4729
75 1098,2979
76 1112,4331
77 1128,9119
78 1144,637
79 1157,2939
80 1171,217
81 1185,5959
82 1205,563
83 1219,219
84 1232,2061
85 1248,594
86 1259,8728
87 1273,448
88 1291,0581
89 1301,6189
90 1318,8149
91 1330,002
92 1345,6641
93 1363,9021
94 1382,3711
95 1391,416
96 1408,5801
97 1423,3621
98 1437,9321
99 1450,9729
100 1467,3369
