1 11,366943
2 23,0271
3 34,504883
4 46,089111
5 58,202881
6 69,544922
7 74,278076
8 86,309814
9 99,185059
10 112,34912
11 134,34912
12 143,02612
13 153,73291
14 168,854
15 183,07617
16 198,21094
17 215,65698
18 231,27905
19 247,55493
20 262,55591
21 277,01807
22 289,49194
23 303,94312
24 316,41089
25 329,81982
26 342,27612
27 355,25098
28 369,61987
29 383,96899
30 396,99292
31 410,93213
32 424,2771
33 437,63208
34 450,22583
35 462,29907
36 476,77588
37 489,47705
38 501,29102
39 518,12207
40 529,91211
41 543,97095
42 558,05591
43 570,62305
44 584,19604
45 599,948
46 609,67505
47 626,69897
48 640,03979
49 650,08203
50 664,37012
51 680,06787
52 691,68213
53 703,552
54 719,11401
55 731,81616
56 745,45508
57 757,01489
58 772,95386
59 785,13721
60 798,49609
61 810,96411
62 825,57104
63 838,74902
64 852,05298
65 865,16406
66 879,01294
67 894,75513
68 906,15186
69 919,79614
70 933,40991
71 948,81396
72 959,50806
73 975,49512
74 984,44995
75 998,78394
76 1014,1541
77 1025,8159
78 1039,1421
79 1051,2839
80 1067,2681
81 1081,9861
82 1098,8171
83 1106,8179
84 1167,1062
85 1132,812
86 1154,8191
87 1160,9241
88 1175,967
89 1188,1702
90 1205,949
91 1221,282
92 1225,043
93 1240,3501
94 1259,05
95 1268,5249
96 1286,615
97 1366,2849
98 1312,8799
99 1320,718
100 1335,0698
