1 3,8640137
2 8,3759766
3 15,313965
4 21,402832
5 21,689941
6 25,600098
7 28,996826
8 33,305908
9 38,214111
10 41,331055
11 45,416992
12 49,216064
13 54,088867
14 57,60791
15 61,959961
16 67,927002
17 66,455078
18 72,789062
19 72,478027
20 76,412842
21 84,074951
22 83,394043
23 88,911133
24 91,886963
25 98,208008
26 99,969971
27 106,17896
28 108,27002
29 119,64307
30 117,36499
31 121,55908
32 127,36694
33 129,68994
34 143,38208
35 137,09302
36 142,375
37 146,18896
38 150,32397
39 156,6709
40 160,26392
41 162,7981
42 175,76709
43 173,96191
44 176,46582
45 180,08521
46 181,46387
47 185,56299
48 193,28198
49 194,32397
50 198,82715
51 206,15796
52 207,34692
53 210,87891
54 215,71191
55 221,20386
56 229,60107
57 229,95679
58 235,51904
59 254,91895
60 243,46289
61 254,875
62 256,14893
63 252,57104
64 255,81396
65 262,15991
66 265,20288
67 275,58105
68 285,94116
69 283,31494
70 280,27197
71 308,96802
72 292,51611
73 310,38599
74 298,52588
75 305,67188
76 306,21094
77 312,62012
78 309,67212
79 320,01001
80 324,88696
81 329,42407
82 336,32007
83 334,98999
84 343,20898
85 347,52881
86 364,68604
87 355,61206
88 354,40405
89 357,84888
90 381,90308
91 370,48999
92 375,88599
93 378,73706
94 385,40698
95 401,72607
96 389,18604
97 390,82788
98 426,90308
99 408,18701
100 406,31299
