1 5,9082031
2 13,096924
3 22,454834
4 32,031006
5 37,188965
6 41,720947
7 49,280029
8 64,698975
9 53,822998
10 76,200195
11 72,481934
12 67,841064
13 73,089111
14 81,061035
15 105,97778
16 94,062012
17 90,029053
18 96,608887
19 98,758057
20 104,68091
21 119,2439
22 116,09399
23 120,93408
24 124,59399
25 143,9939
26 138,19019
27 141,42603
28 145,76001
29 152,08203
30 168,49194
31 175,698
32 170,00806
33 171,7041
34 177,21387
35 182,04297
36 187,93481
37 191,80005
38 195,68994
39 201,56616
40 218,16309
41 215,92407
42 218,11914
43 223,45801
44 230,17114
45 234,18506
46 239,10278
47 245,61694
48 251,63184
49 267,823
50 263,19092
51 275,99316
52 279,43286
53 284,57715
54 281,97095
55 287,61011
56 304,354
57 293,09888
58 304,31909
59 328,15918
60 317,74902
61 325,67212
62 330,5271
63 332,34814
64 332,07202
65 336,26416
66 347,13013
67 352,95801
68 365,65308
69 362,77393
70 361,96899
71 375,82593
72 380,94189
73 384,78003
74 394,71899
75 389,79004
76 395,41016
77 399,8999
78 408,91187
79 414,65112
80 415,66284
81 424,02295
82 429,84106
83 439,80298
84 444,32495
85 444,99805
86 455,80713
87 456,54395
88 461,85913
89 473,84302
90 475,59302
91 480,80786
92 486,97388
93 488,04907
94 504,50317
95 499,94897
96 502,03809
97 511,66895
98 516,43506
99 517,83301
100 522,68506
