1 16,419922
2 42,045898
3 76,625977
4 82,448975
5 90,287109
6 116,13696
7 138,09619
8 166,427
9 197,33691
10 221,74194
11 249,45093
12 278,37622
13 305,66309
14 334,82715
15 361,57104
16 390,67798
17 418,59399
18 446,61011
19 474,8252
20 503,08398
21 530,86792
22 559,33496
23 587,59302
24 616,47681
25 643,03784
26 673,19312
27 699,26196
28 729,69287
29 757,56909
30 786,52783
31 814,63892
32 843,34717
33 869,05786
34 898,97803
35 926,69189
36 957,25
37 983,66309
38 1012,4451
39 1040,1741
40 1070,6611
41 1096,4109
42 1126,3511
43 1152,1208
44 1184,1211
45 1208,2852
46 1239,4978
47 1266,4231
48 1294,105
49 1322,6638
50 1353,491
51 1379,312
52 1408,2539
53 1435,75
54 1466,426
55 1494,709
56 1523,344
57 1549,9949
58 1578,4741
59 1608,2241
60 1638,0291
61 1662,6438
62 1693,979
63 1720,137
64 1749,54
65 1777,873
66 1807,123
67 1834,7339
68 1862,45
69 1890,8269
70 1920,6121
71 1948,2581
72 1980,0339
73 2006,718
74 2034,7031
75 2064,0872
76 2092,6841
77 2120,532
78 2152,0898
79 2177,604
80 2206,7361
81 2235,2659
82 2263,062
83 2289,0349
84 2319,2241
85 2367,3142
86 2378,76
87 2404,344
88 2431,5781
89 2459,5701
90 2489,9849
91 2516,8499
92 2547,178
93 2573,5229
94 2608,864
95 2634,542
96 2661,7671
97 2685,6018
98 2714,864
99 2741,313
100 2773,384
