1 47,804932
2 95,770996
3 145,01782
4 194,40186
5 242,27979
6 291,71118
7 339,15308
8 409,53687
9 437,00488
10 486,53906
11 533,58716
12 583,73804
13 630,5979
14 680,94214
15 727,90723
16 778,01392
17 825,79297
18 875,271
19 922,77417
20 1023,8279
21 1017,0859
22 1070,218
23 1117,4309
24 1171,126
25 1214,22
26 1265,1389
27 1311,896
28 1361,9768
29 1408,22
30 1460,073
31 1505,355
32 1556,8672
33 1602,7878
34 1656,5601
35 1702,2021
36 1750,7891
37 1800,7759
38 1846,8921
39 1892,717
40 1947,426
41 1989,2939
42 2041,0601
43 2088,2781
44 2140,271
45 2188,6108
46 2225,0652
47 2287,9341
48 2327,0281
49 2375,77
50 2434,2148
51 2476,615
52 2527,7849
53 2594,71
54 2628,7791
55 2670,4741
56 2728,481
57 2766,064
58 2817,2439
59 2864,3982
60 2923,2852
61 2967,0979
62 3017,927
63 3063,4412
64 3116,219
65 3159,9561
66 3207,4111
67 3248,905
68 3263,575
69 3355,2329
70 3408,6501
71 3449,6919
72 3496,2581
73 3549,7649
74 3602,3091
75 3648,0559
76 3704,4919
77 3741,134
78 3797,1741
79 3833,217
80 3895,0581
81 3931,928
82 3981,6599
83 4032,387
84 4057,802
85 4126,5332
86 4181,7832
87 4212,292
88 4283,137
89 4286,9238
90 4383,656
91 4391,043
92 4476,7842
93 4488,4812
94 4569,7419
95 4602,0862
96 4671,4038
97 4705,0149
98 4755,7981
99 4802,6882
100 4866,6318
