1 17,293945
2 41,515137
3 91,509033
4 88,214844
5 91,102051
6 113,28491
7 137,59106
8 159,77515
9 185,78784
10 212,91089
11 239,33008
12 266,60693
13 293,7019
14 320,77905
15 346,85205
16 373,33887
17 400,35693
18 427,30615
19 453,19507
20 483,16602
21 507,57104
22 534,45093
23 560,46289
24 588,65503
25 614,69897
26 642,21191
27 669,12793
28 695,63501
29 722,74805
30 749,48901
31 778,44995
32 804,46216
33 831,71802
34 858,96606
35 885,90308
36 913,00903
37 939,79102
38 966,85693
39 993,854
40 1020,5039
41 1047,4819
42 1074,5979
43 1101,9861
44 1129,3462
45 1155,2971
46 1186,729
47 1221,95
48 1236,25
49 1264,0698
50 1289,8281
51 1315,46
52 1343,1792
53 1369,0068
54 1396,9919
55 1424,125
56 1451,667
57 1478,4558
58 1505,7148
59 1532,8298
60 1560,7202
61 1587,7439
62 1615,54
63 1641,146
64 1669,095
65 1695,333
66 1722,0261
67 1749,4731
68 1774,8989
69 1802,7451
70 1831,0259
71 1856,6091
72 1884,96
73 1910,825
74 1939,2468
75 1965,4651
76 1990,73
77 2018,2979
78 2045,8618
79 2072,5581
80 2099,0991
81 2127,3979
82 2154,4419
83 2182,071
84 2208,387
85 2238,8411
86 2268,323
87 2295,481
88 2321,8401
89 2348,2861
90 2375,115
91 2401,7659
92 2427,623
93 2459,7961
94 2482,6179
95 2510,2241
96 2538,635
97 2564,386
98 2592,7959
99 2620,502
100 2648,303
