1 67,042969
2 133,48389
3 204,36719
4 272,35889
5 340,27222
6 407,95703
7 476,56494
8 544,72998
9 612,56201
10 732,66699
11 748,74097
12 816,6792
13 885,12988
14 953,07202
15 1020,2461
16 1088,959
17 1156,4832
18 1225,3918
19 1289,845
20 1360,2141
21 1429,136
22 1496,2859
23 1565,7158
24 1628,2959
25 1696,541
26 1769,7419
27 1836,1418
28 1903,199
29 1967,5691
30 2039,2539
31 2108,636
32 2165,4019
33 2237,4932
34 2303,5061
35 2375,344
36 2439,218
37 2507,145
38 2573,385
39 2643,324
40 2709,1792
41 2779,885
42 2848,6221
43 2910,696
44 2980,395
45 3048,019
46 3113,3169
47 3184,78
48 3253,4871
49 3317,9761
50 3380,781
51 3458,168
52 3926,9409
53 3594,98
54 3656,9141
55 3728,144
56 3795,3601
57 3858,1379
58 3933,3879
59 4000,387
60 4066,4458
61 4126,3328
62 4380,5369
63 4472,3979
64 4512,792
65 4401,781
66 4468,9102
67 4518,2341
68 4600,675
69 4667,5591
70 4795,1128
71 4800,354
72 4874,137
73 4946,6589
74 5012,8301
75 5077,3608
76 5138,25
77 5214,583
78 5273,998
79 5345,0039
80 5414,22
81 5476,793
82 5550,9241
83 5616,906
84 5681,2861
85 5745,9509
86 5815,532
87 5877,0911
88 5951,7119
89 6010,6418
90 6085,239
91 6153,616
92 6206,1899
93 6297,1841
94 6362,2041
95 6433,6438
96 6494,0051
97 6561,533
98 6632,0549
99 6687,9192
100 6771,0129
