1 15,674805
2 38,787109
3 100,26904
4 82,563965
5 89,2771
6 110,75
7 134,88501
8 159,78003
9 186,90796
10 213,07397
11 239,52393
12 266,63892
13 293,68799
14 321,125
15 347,64111
16 376,41284
17 402,38501
18 428,24512
19 456,23413
20 482,22607
21 509,82812
22 537,01392
23 563,92383
24 591,38599
25 617,2749
26 644,66113
27 671,52612
28 698,51001
29 725,73291
30 752,30981
31 779,69995
32 806,73804
33 832,54614
34 860,62402
35 887,58203
36 914,56299
37 942,25317
38 968,89697
39 995,53198
40 1025,239
41 1049,572
42 1077,9248
43 1104,884
44 1131,5779
45 1156,9238
46 1184,239
47 1211,156
48 1239,3879
49 1265,5569
50 1294,7571
51 1319,9678
52 1347,395
53 1373,709
54 1401,5129
55 1427,97
56 1455,4009
57 1484,031
58 1510,647
59 1538,2529
60 1564,521
61 1591,2749
62 1619,335
63 1647,5852
64 1672,291
65 1701,0161
66 1726,4309
67 1752,686
68 1780,1941
69 1808,085
70 1833,9619
71 1862,28
72 1888,417
73 1915,9641
74 1943,748
75 1969,9771
76 1997,928
77 2023,1179
78 2050,7561
79 2078,4702
80 2105,4138
81 2133,8811
82 2159,6829
83 2186,269
84 2217,6399
85 2244,511
86 2274,4839
87 2300,186
88 2328,509
89 2352,489
90 2379,887
91 2408,147
92 2435,178
93 2460,6299
94 2488,8701
95 2516,115
96 2542,7371
97 2568,426
98 2595,009
99 2622,124
100 2648,6011
