1 8,9418945
2 18,12085
3 27,146973
4 37,583008
5 51,152832
6 63,89917
7 74,989014
8 87,336914
9 98,781982
10 113,04004
11 124,9812
12 136,73584
13 141,56396
14 149,4541
15 163,76489
16 171,90112
17 179,90186
18 188,60791
19 200,85913
20 210,52783
21 214,95703
22 233,28296
23 244,21997
24 255,05591
25 263,07715
26 276,229
27 285,47412
28 297,38281
29 307,927
30 320,09814
31 329,76294
32 342,31909
33 352,48804
34 359,03516
35 372,52197
36 385,35693
37 395,3208
38 405,3291
39 415,7041
40 426,50781
41 438,4541
42 449,21606
43 454,10693
44 466,36011
45 481,93115
46 492,18188
47 500,69116
48 513,38013
49 515,02881
50 535,96484
51 546,30908
52 555,83789
53 566,29199
54 570,89722
55 586,87988
56 600,08008
57 606,646
58 622,28394
59 625,68701
60 643,03491
61 650,27002
62 658,64404
63 672,87891
64 685,21313
65 692,50903
66 708,10693
67 709,12598
68 729,00415
69 733,58789
70 750,63916
71 762,4519
72 773,74902
73 782,36816
74 783,68799
75 804,479
76 803,62793
77 832,33887
78 829,177
79 841,81299
80 857,49609
81 864,53906
82 877,31592
83 879,56396
84 891,33789
85 907,81787
86 916,61182
87 922,104
88 932,00195
89 948,82715
90 965,83301
91 956,57983
92 987,54492
93 1000,1941
94 1010,9041
95 1014,1189
96 1036,427
97 1018,8298
98 1047,0669
99 1063,238
100 1074,667
