1 10,227051
2 21,968018
3 30,22998
4 40,570801
5 51,175049
6 62,057129
7 73,602051
8 81,990967
9 95,506104
10 111,54785
11 125,81299
12 136,28223
13 143,08301
14 157,32495
15 169,72998
16 184,26392
17 197,28394
18 210,37988
19 226,53198
20 238,99194
21 251,83008
22 267,0542
23 277,67407
24 288,13501
25 302,15894
26 312,72095
27 324,33496
28 338,34497
29 349,55298
30 363,48706
31 375,71216
32 388,02393
33 400,62402
34 412,86108
35 424,76099
36 435,65796
37 450,59009
38 462,82886
39 473,49683
40 486,43018
41 496,8999
42 511,08398
43 524,29785
44 538,83398
45 545,27197
46 560,05518
47 570,30688
48 586,04297
49 593,48706
50 606,36597
51 618,49414
52 629,64893
53 646,35791
54 657,68701
55 666,01318
56 681,03418
57 693,25586
58 708,08911
59 721,771
60 730,96997
61 745,01709
62 757,68896
63 772,01489
64 782,51001
65 788,84888
66 807,82397
67 812,42188
68 864,48804
69 839,2041
70 852,95801
71 867,88403
72 884,60107
73 889,49097
74 905,12012
75 916
76 929,00903
77 934,56104
78 956,07007
79 965,5481
80 978,76196
81 983,78516
82 1004,8271
83 1010,1399
84 1020,5581
85 1030,803
86 1049,0669
87 1063,5
88 1078,332
89 1089,8669
90 1107,981
91 1109,709
92 1125,064
93 1136,708
94 1142,958
95 1167,3101
96 1172,8411
97 1186,8262
98 1193,668
99 1212,9868
100 1224,3691
