1 90,577881
2 182,80615
3 275,82178
4 378,04297
5 458,24707
6 566,36694
7 642,84302
8 735,146
9 827,59302
10 919,87695
11 1008,238
12 1101,3931
13 1193,9189
14 1287,708
15 1378,5081
16 1469,4409
17 1561,282
18 1700,189
19 1743,5688
20 1836,5491
21 1929,1428
22 2022,384
23 2114,3718
24 2205,292
25 2298,72
26 2378,0449
27 2481,969
28 2636,5759
29 2664,2119
30 2754,6028
31 2848,896
32 2941,324
33 3034,467
34 3124,0359
35 3217,426
36 3307,189
37 3397,6321
38 3490,6809
39 3577,6501
40 3673,9819
41 3764,8721
42 3858,656
43 3940,6001
44 4041,3738
45 4133,8721
46 4223,6599
47 4317,136
48 4406,6121
49 4501,1799
50 4594,4958
51 4682,918
52 4779,1169
53 4873,4309
54 4957,4211
55 5057,51
56 5144,8069
57 5231,8379
58 5326,092
59 5418,323
60 5511,8779
61 5604,397
62 5694,208
63 5792,3899
64 5879,3301
65 5969,9868
66 6065,501
67 6151,446
68 6240,332
69 6339,2178
70 6430,448
71 6517,458
72 6610,2759
73 6703,771
74 6784,3979
75 6892,4082
76 6972,4221
77 7074,606
78 7153,97
79 7252,6279
80 7344,343
81 7432,4102
82 7527,491
83 7621,2869
84 7716,8831
85 7805,25
86 7897,3721
87 7984,1409
88 8076,2471
89 8162,261
90 8266,8472
91 8354,3691
92 8441,0981
93 8537,76
94 8632,5552
95 8726,0029
96 8810,571
97 8894,8101
98 9001,3062
99 9091,2141
100 9178,165
